,train_loss,train_acc,test_loss,test_acc
0,2.3344716397198764,0.11223169191919191,2.244967017854963,0.09786040940766551
1,2.1715998313643716,0.17474747474747473,1.9723278709820338,0.235191637630662
2,1.943606349554929,0.26101641414141413,1.867955003465925,0.320993031358885
3,1.8413332494822416,0.31171085858585856,1.9244428277015686,0.29921602787456447
4,1.8412034468217329,0.31084280303030304,1.8253911137580872,0.33653636759581884
5,1.7848099253394387,0.3499368686868687,1.694015988281795,0.3739383710801394
6,1.7378595579754224,0.36496212121212124,1.731186866760254,0.38662347560975613
7,1.692376878044822,0.37959280303030307,1.683285117149353,0.35907556620209063
8,1.6660842765461314,0.3886521464646465,1.6427813087190901,0.40064242160278746
9,1.6394647652452643,0.4000473484848485,1.6180255923952376,0.4210855836236934
